name,r2,mse
auvergne-rhône-alpes,0.9251316848426974,75473635434.47496
bourgogne-franche-comté,0.9544574975187348,99288448468.4938
bretagne,0.8084413782990697,337406335070.5748
centre-val-de-loire,0.9685246421231553,39682809987.5819
corse,0.9191284511597138,69277895332.96773
grand-est,0.6500252139077202,140875654132.0196
hauts-de-france,0.8037310364034842,401559135370.5466
île-de-france,0.8983397016768395,48328650503.24996
normandie,0.8146869072363659,35477883766.94308
nouvelle-aquitaine,0.6467872323783455,31340420683.479813
occitanie,0.8138232475787208,622879577663.586
pays-de-la-loire,0.8003413275004622,48442874490.876274
